latitude,longitude
40.7016309,-74.0166906
40.7100191,-74.0166906
40.7184073,-74.0166906
40.7016309,-74.005579
40.7100191,-74.005579
40.7184073,-74.005579
40.7267955,-74.005579
40.7351837,-74.005579
40.7435719,-74.005579
40.751960100000005,-74.005579
40.760348300000004,-74.005579
40.6764663,-73.99446739999999
40.6848545,-73.99446739999999
40.6932427,-73.99446739999999
40.7016309,-73.99446739999999
40.7100191,-73.99446739999999
40.7184073,-73.99446739999999
40.7267955,-73.99446739999999
40.7351837,-73.99446739999999
40.7435719,-73.99446739999999
40.751960100000005,-73.99446739999999
40.760348300000004,-73.99446739999999
40.7687365,-73.99446739999999
40.7771247,-73.99446739999999
40.6680781,-73.9833558
40.6764663,-73.9833558
40.6848545,-73.9833558
40.6932427,-73.9833558
40.7016309,-73.9833558
40.7184073,-73.9833558
40.7267955,-73.9833558
40.7351837,-73.9833558
40.7435719,-73.9833558
40.751960100000005,-73.9833558
40.760348300000004,-73.9833558
40.7687365,-73.9833558
40.7771247,-73.9833558
40.7855129,-73.9833558
40.6764663,-73.9722442
40.6848545,-73.9722442
40.6932427,-73.9722442
40.7267955,-73.9722442
40.7351837,-73.9722442
40.7435719,-73.9722442
40.751960100000005,-73.9722442
40.760348300000004,-73.9722442
40.7687365,-73.9722442
40.7771247,-73.9722442
40.7855129,-73.9722442
40.79390110000001,-73.9722442
40.802289300000005,-73.9722442
40.7100191,-73.9611326
40.7184073,-73.9611326
40.751960100000005,-73.9611326
40.760348300000004,-73.9611326
40.7687365,-73.9611326
40.7771247,-73.9611326
40.7855129,-73.9611326
40.79390110000001,-73.9611326
40.802289300000005,-73.9611326
40.8106775,-73.9611326
40.819065699999996,-73.9611326
40.7100191,-73.95002099999999
40.7184073,-73.95002099999999
40.7267955,-73.95002099999999
40.7435719,-73.95002099999999
40.760348300000004,-73.95002099999999
40.7687365,-73.95002099999999
40.7771247,-73.95002099999999
40.7855129,-73.95002099999999
40.79390110000001,-73.95002099999999
40.802289300000005,-73.95002099999999
40.8106775,-73.95002099999999
40.819065699999996,-73.95002099999999
40.8274539,-73.95002099999999
40.7100191,-73.93890939999999
40.751960100000005,-73.93890939999999
40.7771247,-73.93890939999999
40.7855129,-73.93890939999999
40.79390110000001,-73.93890939999999
40.802289300000005,-73.93890939999999
40.8106775,-73.93890939999999
40.819065699999996,-73.93890939999999
40.8358421,-73.93890939999999
40.8442303,-73.93890939999999
40.7435719,-73.92779779999998
40.760348300000004,-73.92779779999998
40.7687365,-73.92779779999998
40.7435719,-73.9166862
40.760348300000004,-73.9166862
40.7687365,-73.9166862
40.7435719,-73.9055746
40.7435719,-73.894463
40.7771247,-73.8833514
40.7687365,-73.87223979999999
40.7771247,-73.87223979999999
40.7687365,-73.8611282
40.6429135,-73.7944586
40.6513017,-73.7944586
40.6429135,-73.78334699999999
40.6513017,-73.78334699999999
40.6429135,-73.7722354
