name,importance_1,importance_2,importance_3,importance_4,importance_5,importance_6
region,0.06920829084078961,0.04593627047068821,0.13241244563913926,0.15964528493289593,0.0,0.11355535213565186
first_clusterization,0.22979270090042617,0.7295157355719271,0.4516554554312381,0.24033445808041212,0.11567827415348682,0.1147779002314621
second_clusterization,0.06922169742726426,0.005867400128119982,0.0395248165721518,0.07569459897704787,0.0,0.12204399780042469
third_clusterization,0.0015909763891951314,0.0,0.0,0.0,0.0,0.0
fourth_clusterization,0.010259135981057429,0.060528064193769146,0.9885491694035429,0.013574528242128268,0.1641774870729778,0.018480377415845482
time,0.03293129074839739,0.04373061394597547,0.09015031406357708,0.0629085578885505,0.0,0.09793942849957753
1hour_pred,14.631092718724853,0.36041581454553834,0.0,0.03947519905908922,0.0,0.02954026776613198
2hour_pred,0.17896277816536318,10.093776773970866,0.1385431490800982,0.0,0.0,0.09412386220607578
3hour_pred,0.08491656754123884,0.2210635392859328,7.967944339194532,0.13351651391044822,0.0,0.01942422962911569
4hour_pred,0.048019583611954145,0.0,0.9239121118735837,6.27175462511048,0.0,0.0
5hour_pred,0.05998927090060292,0.025203193207513394,0.0,0.06174918159243118,4.698524992370192,0.005872775707689376
6hour_pred,0.2511921030797454,0.13218993964042136,0.12364348522497597,0.08351956843163275,0.4121618772076112,6.731241020746647
number,33.443552691870195,9.767765841319694,3.5080596274074387,0.39271896402597933,0.0,0.07851130614882092
hours,0.2630313270922597,0.19389090113400678,0.08119056925815299,0.1132034246258113,0.05052452621953902,0.11523191924761686
c_hours,0.30713826318913956,0.06323542185879062,0.05830523136742423,0.033847389171578035,0.01217726795389526,0.0235747108236387
days,0.01615411501346113,0.012567930098237699,0.05130761558784804,0.0741767698051605,0.0,0.10333163625428697
c_days,0.07470472762218566,0.42875233049306083,1.3666246558892325,1.97689071047207,2.5102879476752684,2.2474518563104993
weeks,0.04846681247629778,0.14294745278465784,0.13532202883765948,0.16812067816370188,0.3214790760667963,0.19215961875503898
c_weeks,0.006041474537380707,0.0,0.03110733856949427,0.053656832640600505,0.0,0.051846773495953645
month,0.012700652054973838,0.02113433740533731,0.0,0.0,0.0,0.05489885031679431
c_month,0.000247314047182635,0.0,0.017797299541499525,0.01288948951905834,0.0,0.0
day_of_month,0.09075226919786697,0.16811736833394578,0.47477211066072306,0.21507525167981154,0.37445779536114837,0.33857589792104664
c_day_of_month,0.012928399924229911,0.006646648589696187,0.0,0.011660649090248061,0.0,0.009841540474995985
c_time,0.32518809093517637,0.481716255959423,0.5173627179219602,0.45838895325641915,0.2766728769552948,0.4155966529276667
sin_w_1,0.17181552897281838,0.43952204982569915,0.5883393591311344,0.6341418591089322,0.7678713185028472,0.9758225291513872
cos_w_1,0.28811787107066467,0.5164154101147116,0.8756186572038034,1.0620605056524954,1.1161987267428812,1.2437316704148393
sin_hy_1,0.010297242489924094,0.0,0.027660242367018313,0.0,0.0,0.06870714132806637
cos_hy_1,0.1930281875934642,0.3946004200439299,0.6676037651714193,0.7149870979831512,0.6487386391410516,1.0988223377410615
sin_ty_1,0.04568921925342235,0.09843655805504013,0.11144728297358691,0.24884472395341334,0.2634766192450809,0.3052183887542983
cos_ty_1,0.07157849531298792,0.02976478114460258,0.020525170190185724,0.045509334437087295,0.0,0.0473631748832089
sin_qy_1,0.019893636498798377,0.035526700640532385,0.01481502842232526,0.08603765341843442,0.0,0.1148413435228486
cos_qy_1,0.019063531807606386,0.0,0.009271581878266833,0.008204270937275032,0.0,0.008207725513809194
sin_w_2,0.03731162645522574,0.12913737528207064,0.06176010919504141,0.026736670842705236,0.041656539719179306,0.04790493653314682
cos_w_2,0.008857069197248312,0.018577347133460664,0.014652870284340027,0.15164116672480354,0.0,0.09061920424088417
sin_hy_2,0.009360343624606781,0.0,0.01902287658937715,0.02019706226861166,0.0,0.06392233744306636
cos_hy_2,0.0013858053992790692,0.0,0.0,0.03168348377100213,0.05757493347534416,0.012045750874246735
sin_ty_2,0.009488711313010217,0.016179227260980002,0.0,0.002717613614197092,0.0,0.0
cos_ty_2,0.04838331299584466,0.0,0.049373138425984855,0.012294212997457164,0.09309561159468016,0.0
sin_qy_2,0.0037915149523110223,0.0,0.0,0.019561780512698815,0.0,0.07297290101198034
cos_qy_2,0.0031308793497404563,0.0,0.0,0.0,0.0,0.0
sin_w_3,0.04366209648766786,0.06430216927246568,0.26579812028951527,0.45465512261360264,0.11744059929345906,0.5966937673553271
cos_w_3,0.047090489139311756,0.012320105386597044,0.054472754973711686,0.07214758890190673,0.07933261234801826,0.02534136209744733
sin_hy_3,0.007051237575265097,0.0,0.0,0.12427445280188355,0.0,0.09178572700545728
cos_hy_3,0.031328285002630636,0.038020196545837236,0.00445876892658798,0.011246520568876477,0.0,0.11231414545173171
sin_ty_3,0.06344537903823456,0.11945079087988623,0.21890613597523748,0.18310264012572927,0.26495237693070917,0.3695769770723719
cos_ty_3,0.027014682449508942,0.0,0.011508403825809815,0.029744443260687613,0.0,0.0340752505272258
sin_qy_3,0.15930844104752245,0.26001206229623897,0.48323217823795184,0.17022678475689446,0.24051460534688485,0.18726820992343082
cos_qy_3,0.009900080723306282,0.0,0.0,0.0,0.0,0.008597707665824862
sin_w_4,0.12278851378387606,0.07294945088749048,0.22472870492353053,0.15814139590621282,0.1824676158579988,0.09549530446210343
cos_w_4,0.003139055684279883,0.0,0.027249180512942655,0.0,0.0,0.015100912500360029
sin_hy_4,0.00305686045611726,0.0,0.0,0.0,0.0,0.0
cos_hy_4,0.0,0.0,0.0,0.0,0.0,0.0
